#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
74,Ben Simmons,PHI,58,32.4,5.6,10.1,0.557,0.1,0.2,0.3,3,4.9,0.613,3,2.9,1.6,5.6,7.2,6.9,1.6,0.6,14.3
75,Richaun Holmes,SAC,61,29.2,6,9.4,0.637,0,0.2,0.182,2.2,2.8,0.794,1.2,3.5,2.4,5.9,8.3,1.7,0.6,1.6,14.2
76,Joe Harris,BRK,69,31,5.2,10.2,0.505,3.1,6.4,0.475,0.7,0.9,0.778,0.9,2,0.6,3,3.6,1.9,0.7,0.2,14.1
77,Luguentz Dort,OKC,52,29.7,4.8,12.3,0.387,2.2,6.3,0.343,2.3,3.2,0.744,1.5,2.6,0.7,2.9,3.6,1.7,0.9,0.4,14
78,Rui Hachimura,WAS,57,31.5,5.4,11.4,0.478,0.8,2.4,0.328,2.2,2.8,0.77,1.2,2.1,0.9,4.6,5.5,1.4,0.8,0.1,13.8
79,Darius Bazley,OKC,55,31.2,5,12.5,0.396,1.5,5.2,0.29,2.3,3.2,0.702,2.2,1.1,0.9,6.3,7.2,1.8,0.5,0.5,13.7
80,Chris Boucher,TOR,60,24.2,4.8,9.3,0.514,1.5,3.9,0.383,2.5,3.2,0.788,0.8,2.8,1.9,4.8,6.7,1.1,0.6,1.9,13.6
81,Lauri Markkanen,CHI,51,25.8,4.9,10.2,0.48,2.3,5.8,0.402,1.5,1.8,0.826,1,1.5,0.7,4.6,5.3,0.9,0.5,0.3,13.6
82,Doug McDermott,IND,66,24.5,5.4,10.1,0.532,1.7,4.3,0.388,1.2,1.5,0.816,0.8,1.8,0.9,2.4,3.3,1.3,0.3,0.1,13.6
83,Kelly Olynyk,HOU,70,28.5,4.8,10,0.484,1.8,5.3,0.342,2.1,2.5,0.829,1.8,3,1.2,5.7,7,2.9,1.1,0.6,13.5
84,Montrezl Harrell,LAL,69,22.9,5.4,8.7,0.622,0,0.1,0,2.6,3.7,0.707,1.1,1.9,2.3,3.9,6.2,1.1,0.7,0.7,13.5
85,Mikal Bridges,PHX,72,32.6,5,9.3,0.543,1.9,4.4,0.425,1.5,1.8,0.84,0.8,1.6,1.1,3.2,4.3,2.1,1.1,0.9,13.5
86,Goran Dragic,MIA,50,26.7,4.8,11.1,0.432,1.8,4.9,0.373,2,2.4,0.828,2.4,2.3,0.5,2.9,3.4,4.4,0.7,0.2,13.4
87,Marcus Morris,LAC,57,26.3,4.8,10.2,0.473,2.5,5.2,0.473,1.3,1.6,0.82,1,2.1,0.6,3.5,4.1,1,0.6,0.3,13.4
88,Carmelo Anthony,POR,69,24.5,4.7,11.3,0.421,1.9,4.7,0.409,2,2.2,0.89,0.9,2.1,0.5,2.6,3.1,1.5,0.7,0.6,13.4
89,Josh Jackson,DET,62,25.2,4.8,11.4,0.419,1.2,4.1,0.3,2.6,3.5,0.729,2.3,2.9,0.9,3.2,4.1,2.3,0.9,0.8,13.4
90,Danilo Gallinari,ATL,51,24,4,9.3,0.434,2,5,0.406,3.2,3.4,0.925,0.8,2.1,0.3,3.8,4.1,1.5,0.6,0.2,13.3
91,Duncan Robinson,MIA,72,31.4,4.4,10,0.439,3.5,8.5,0.408,0.9,1,0.827,1.1,2.5,0.1,3.4,3.5,1.8,0.6,0.3,13.1
92,Marcus Smart,BOS,48,32.9,4.2,10.6,0.398,1.9,5.9,0.33,2.7,3.4,0.79,2,2.6,0.8,2.7,3.5,5.7,1.5,0.5,13.1
93,Tyrese Haliburton,SAC,58,30.1,5,10.7,0.472,2.1,5.1,0.409,0.8,1,0.857,1.6,1.4,0.7,2.3,3,5.3,1.3,0.5,13
94,Shake Milton,PHI,63,23.2,4.8,10.6,0.45,1.1,3.2,0.35,2.3,2.8,0.83,1.6,2.1,0.5,1.8,2.3,3.1,0.6,0.3,13
95,P.J. Washington,CHA,64,30.5,4.7,10.7,0.44,1.8,4.5,0.386,1.7,2.3,0.745,2,2.7,1.5,5.1,6.5,2.5,1.1,1.2,12.9
96,Kyle Kuzma,LAL,68,28.7,4.9,11.1,0.443,2,5.6,0.361,1,1.4,0.691,1.7,1.8,1.6,4.5,6.1,1.9,0.5,0.6,12.9
97,Jarrett Allen,CLE,63,29.6,4.7,7.7,0.618,0.1,0.3,0.316,3.2,4.6,0.703,1.6,1.5,3.1,6.9,10,1.7,0.5,1.4,12.8
98,Keldon Johnson,SAS,69,28.5,4.9,10.2,0.479,0.9,2.6,0.331,2.1,2.8,0.74,1.1,2.1,1.3,4.6,6,1.8,0.6,0.3,12.8
99,Miles Bridges,CHA,66,29.3,4.7,9.4,0.503,1.8,4.4,0.4,1.5,1.7,0.867,1.6,2.2,1.2,4.8,6,2.2,0.7,0.8,12.7
100,Alec Burks,NYK,49,25.6,4.3,10.2,0.42,2.1,5,0.415,2.1,2.4,0.856,1,2.1,0.4,4.2,4.6,2.2,0.6,0.3,12.7
101,Will Barton,DEN,56,31,4.6,10.9,0.426,1.8,4.6,0.381,1.7,2.2,0.785,1.7,1.7,0.7,3.3,4,3.2,0.9,0.4,12.7
102,Jalen Brunson,DAL,68,25,4.8,9.2,0.523,1.2,2.9,0.405,1.8,2.2,0.795,1.2,1.6,0.4,3,3.4,3.5,0.5,0,12.6
103,Seth Curry,PHI,57,28.7,4.5,9.7,0.467,2.2,4.9,0.45,1.2,1.4,0.896,1.1,1.7,0.2,2.2,2.4,2.7,0.8,0.1,12.5
104,Kyle Anderson,MEM,69,27.4,4.5,9.5,0.468,1.4,3.8,0.36,2.1,2.7,0.783,1.2,1.7,0.8,5,5.7,3.6,1.2,0.8,12.4
105,Aaron Gordon,DEN,50,27.7,4.6,10,0.463,1.2,3.5,0.335,1.9,3,0.651,1.9,1.8,1.5,4.1,5.7,3.2,0.7,0.7,12.4
106,Brook Lopez,MIL,70,27.2,4.6,9.1,0.503,1.4,4,0.338,1.7,2,0.845,0.9,2.1,1.5,3.5,5,0.7,0.6,1.5,12.3
107,Saddiq Bey,DET,70,27.3,4,9.9,0.404,2.5,6.6,0.38,1.8,2.1,0.844,0.9,1.6,0.6,3.9,4.5,1.4,0.7,0.2,12.2
108,Eric Bledsoe,NOP,71,29.7,4.3,10.3,0.421,1.7,5,0.341,1.9,2.7,0.687,1.6,1.6,0.4,3,3.4,3.8,0.8,0.3,12.2
109,Josh Richardson,DAL,59,30.3,4.5,10.5,0.427,1.5,4.5,0.33,1.7,1.8,0.917,1.3,2.2,0.9,2.4,3.3,2.6,1,0.4,12.1
110,Thaddeus Young,CHI,68,24.3,5.4,9.7,0.559,0.2,0.7,0.267,1,1.7,0.628,2,2.2,2.5,3.8,6.2,4.3,1.1,0.6,12.1
111,Joe Ingles,UTA,67,27.9,4.1,8.4,0.489,2.7,6.1,0.451,1.1,1.3,0.844,1.7,1.8,0.4,3.2,3.6,4.7,0.7,0.2,12.1
112,Jordan Poole,GSW,51,19.4,4,9.3,0.432,1.9,5.4,0.351,2.1,2.3,0.882,1,1.7,0.3,1.5,1.8,1.9,0.5,0.2,12
113,Kevin Huerter,ATL,69,30.8,4.6,10.6,0.432,2,5.6,0.363,0.7,0.9,0.781,1.1,2.4,0.6,2.8,3.3,3.5,1.2,0.3,11.9
114,Hamidou Diallo,DET,52,23.6,4.3,9,0.477,0.5,1.6,0.341,2.5,3.8,0.64,1.5,2.6,1.1,4.1,5.2,1.9,0.8,0.5,11.6
115,Davis Bertans,WAS,57,25.7,3.4,8.4,0.404,3,7.5,0.395,1.8,2,0.87,0.6,2.4,0.3,2.6,2.9,0.9,0.6,0.2,11.5
116,Bobby Portis,MIL,66,20.8,4.7,9.1,0.523,1.1,2.4,0.471,0.8,1.1,0.74,0.8,1.7,1.9,5.2,7.1,1.1,0.8,0.4,11.4
117,Immanuel Quickley,NYK,64,19.4,3.6,9.1,0.395,1.8,4.7,0.389,2.4,2.7,0.891,0.9,1.8,0.4,1.8,2.1,2,0.5,0.2,11.4
118,Rudy Gay,SAS,63,21.5,4.2,10,0.42,1.7,4.4,0.381,1.3,1.6,0.804,1,1.8,0.7,4.1,4.8,1.4,0.7,0.6,11.4
119,Lou Williams,ATL,66,21.6,4,9.8,0.41,1,2.6,0.399,2.3,2.6,0.867,1.6,0.9,0.3,1.8,2.1,3.4,0.7,0.1,11.3
120,Jae'sean Tate,HOU,70,29.2,4.5,8.9,0.506,0.9,2.8,0.308,1.5,2.1,0.694,1.4,3.2,1.9,3.5,5.3,2.5,1.2,0.5,11.3
121,"Wendell Carter, Jr.",ORL,54,25.5,4.3,8.5,0.503,0.3,0.9,0.294,2.4,3.3,0.732,1.4,2.7,2.4,5.8,8.2,1.9,0.6,0.8,11.2
122,Naz Reid,MIN,70,19.2,4.3,8.3,0.523,0.9,2.5,0.351,1.6,2.4,0.693,1,2.6,1.2,3.4,4.6,1,0.5,1.1,11.2
123,Enes Kanter,POR,72,24.4,4.7,7.8,0.604,0,0.1,0.25,1.8,2.3,0.774,1.1,2.3,3.9,7.1,11,1.2,0.5,0.7,11.2
124,Lonnie Walker,SAS,60,25.4,4.3,10.2,0.42,1.7,4.7,0.355,0.9,1.2,0.814,1.1,1.7,0.2,2.4,2.6,1.7,0.5,0.2,11.2
125,Jeff Green,BRK,68,27,3.8,7.8,0.492,1.5,3.7,0.412,1.8,2.4,0.776,0.8,1.8,0.5,3.4,3.9,1.6,0.5,0.4,11
126,Blake Griffin,BRK,46,25.8,3.8,8.9,0.423,1.5,4.5,0.341,1.9,2.5,0.744,1.3,2.4,0.8,4.1,4.9,3,0.7,0.3,11
127,Dwayne Bacon,ORL,72,25.7,4.1,10.1,0.402,0.8,2.9,0.285,2,2.4,0.824,0.6,1.4,0.4,2.7,3.1,1.3,0.6,0.1,10.9
128,Reggie Bullock,NYK,65,30,3.8,8.6,0.442,2.5,6.1,0.41,0.8,0.8,0.909,0.7,2.2,0.2,3.2,3.4,1.5,0.8,0.2,10.9
129,Patty Mills,SAS,68,24.8,3.7,9,0.412,2.4,6.3,0.375,1,1.1,0.91,1,1.2,0.3,1.4,1.7,2.4,0.6,0,10.8
130,Reggie Jackson,LAC,67,23,3.9,8.7,0.45,1.8,4.2,0.433,1,1.2,0.817,1.1,1.9,0.4,2.5,2.9,3.1,0.6,0.1,10.7
131,Grayson Allen,MEM,50,25.2,3.5,8.3,0.418,2.1,5.5,0.391,1.6,1.8,0.868,1,1.4,0.4,2.8,3.2,2.2,0.9,0.2,10.6
132,Justin Holiday,IND,72,30.3,3.6,8.7,0.413,2.4,6.3,0.382,0.9,1.2,0.788,0.8,1.9,0.4,3.1,3.6,1.7,1,0.6,10.5
133,Donte DiVincenzo,MIL,66,27.5,3.8,9.1,0.42,2,5.2,0.379,0.8,1.1,0.718,1.4,1.7,1.2,4.5,5.8,3.1,1.1,0.2,10.4
134,Cedi Osman,CLE,59,25.6,3.7,9.9,0.374,1.7,5.5,0.306,1.3,1.6,0.8,1.4,2,0.6,2.8,3.4,2.9,0.9,0.2,10.4
135,Mason Plumlee,DET,56,26.8,4.2,6.8,0.614,0,0.1,0,2,3,0.669,1.9,3.3,2.6,6.7,9.3,3.6,0.8,0.9,10.4
136,Brandon Clarke,MEM,59,24,4.3,8.4,0.517,0.3,1.3,0.26,1.3,1.9,0.69,0.6,1.4,1.6,3.9,5.6,1.6,1,0.9,10.3
137,Delon Wright,SAC,63,27.7,3.8,8.2,0.463,1,2.7,0.372,1.6,2,0.802,1.3,1.2,1,3.2,4.3,4.4,1.6,0.5,10.2
138,Monte Morris,DEN,47,25.4,4,8.2,0.481,1.1,2.9,0.381,1.2,1.6,0.795,0.7,1,0.2,1.8,2,3.2,0.7,0.3,10.2
139,Elfrid Payton,NYK,63,23.6,4.3,9.9,0.432,0.4,1.6,0.286,1.2,1.7,0.682,1.6,1.8,1,2.4,3.4,3.2,0.7,0.1,10.1
140,Theo Maledon,OKC,65,27.4,3.5,9.4,0.368,1.6,4.8,0.335,1.6,2.1,0.748,2.2,1.9,0.4,2.9,3.2,3.5,0.9,0.2,10.1
141,Jae Crowder,PHX,60,27.5,3.3,8.2,0.404,2.5,6.3,0.389,0.9,1.2,0.76,0.9,2.1,0.5,4.2,4.7,2.1,0.8,0.5,10.1
142,Bryn Forbes,MIL,70,19.3,3.6,7.6,0.473,2.2,4.9,0.452,0.7,0.9,0.77,0.6,1.1,0.2,1.4,1.6,0.6,0.3,0,10
143,Dorian Finney-Smith,DAL,60,32,3.7,7.8,0.472,2,5,0.394,0.5,0.7,0.756,0.8,2.3,1.6,3.8,5.4,1.7,0.9,0.4,9.8
144,Kentavious Caldwell-Pope,LAL,67,28.4,3.3,7.6,0.431,1.8,4.4,0.41,1.4,1.7,0.866,1,1.7,0.4,2.3,2.7,1.9,0.9,0.4,9.7
145,Daniel Theis,CHI,65,24.6,3.9,7.2,0.541,0.8,2.3,0.322,1.1,1.7,0.673,1,2.6,1.4,4,5.5,1.7,0.6,0.9,9.6
146,Isaac Okoro,CLE,67,32.4,3.5,8.3,0.42,0.9,3.2,0.29,1.7,2.3,0.726,1.3,2.8,1,2.1,3.1,1.9,0.9,0.4,9.6
147,Cameron Johnson,PHX,60,24,3.4,8.1,0.42,1.9,5.6,0.349,0.8,1,0.847,0.7,1.4,0.6,2.8,3.3,1.4,0.6,0.3,9.6
148,Danny Green,PHI,69,28,3.2,7.9,0.412,2.5,6.3,0.405,0.4,0.6,0.775,1,1.8,0.8,3,3.8,1.7,1.3,0.8,9.5
149,Landry Shamet,BRK,61,23,3,7.5,0.408,2.1,5.5,0.387,1.1,1.3,0.846,0.8,1.5,0.2,1.7,1.8,1.6,0.5,0.2,9.3
150,Patrick Williams,CHI,71,27.9,3.6,7.4,0.483,0.8,1.9,0.391,1.3,1.8,0.728,1.4,1.8,0.9,3.7,4.6,1.4,0.9,0.6,9.2
151,Desmond Bane,MEM,68,22.3,3.4,7.3,0.469,1.7,4,0.432,0.6,0.7,0.816,0.9,1.8,0.5,2.6,3.1,1.7,0.6,0.2,9.2
152,Furkan Korkmaz,PHI,55,19.3,3.1,7.7,0.401,1.8,4.9,0.375,1.1,1.5,0.732,0.8,1.2,0.3,1.7,2.1,1.5,0.9,0.2,9.1
153,De'Anthony Melton,MEM,52,20.1,3.3,7.6,0.438,1.7,4.1,0.412,0.8,1,0.804,1.3,1.6,0.6,2.5,3.1,2.5,1.2,0.6,9.1
154,Robin Lopez,WAS,71,19.1,3.8,6,0.633,0.1,0.3,0.278,1.4,1.9,0.723,1.1,1.5,2,1.8,3.8,0.8,0.2,0.6,9
155,Ivica Zubac,LAC,72,22.3,3.6,5.5,0.652,0,0.1,0.25,1.9,2.4,0.789,1.1,2.6,2.6,4.6,7.2,1.2,0.3,0.9,9
156,Talen Horton-Tucker,LAL,65,20.1,3.4,7.5,0.458,0.6,2,0.282,1.5,2,0.775,1.6,2,0.4,2.2,2.6,2.8,1,0.3,9
157,Paul Millsap,DEN,56,20.8,3.4,7.2,0.476,0.9,2.6,0.343,1.3,1.8,0.724,0.9,2,1.4,3.3,4.7,1.8,0.9,0.6,9
158,"Bruce Brown, Jr.",BRK,65,22.3,3.6,6.5,0.556,0.3,0.9,0.288,1.3,1.8,0.735,0.8,2.2,1.7,3.7,5.4,1.6,0.9,0.4,8.8
159,Dario Saric,PHX,50,17.4,3.1,6.8,0.447,0.9,2.7,0.348,1.7,2,0.848,1.1,1.9,0.9,2.9,3.8,1.3,0.6,0.1,8.7
160,Isaiah Roby,OKC,61,23.4,3.4,7,0.483,0.5,1.8,0.294,1.4,1.9,0.744,1.9,2.7,1.5,4.1,5.6,1.8,0.9,0.6,8.7
161,Terence Davis,SAC,61,17.6,3.2,7.5,0.428,1.6,4.4,0.367,0.7,0.9,0.818,1,1.6,0.3,2.2,2.5,1.4,0.7,0.2,8.7
162,Raulzinho Neto,WAS,64,21.9,3.3,7,0.468,1,2.6,0.39,1.2,1.3,0.882,0.8,1.7,0.4,2,2.4,2.3,1.1,0.1,8.7
163,T.J. McConnell,IND,69,26,4,7.1,0.559,0.2,0.7,0.312,0.5,0.7,0.688,2,1.6,0.8,2.9,3.7,6.6,1.9,0.3,8.6
164,Jakob Poeltl,SAS,69,26.7,3.8,6.2,0.616,0,0,0,0.9,1.8,0.508,1.2,2.5,3.2,4.8,7.9,1.9,0.7,1.8,8.6
165,Ricky Rubio,MIN,68,26.1,2.8,7.3,0.388,1,3.1,0.308,1.9,2.2,0.867,1.6,2,0.4,2.9,3.3,6.4,1.4,0.1,8.6
166,Robert Covington,POR,70,32,2.9,7.3,0.401,1.9,5.1,0.379,0.7,0.9,0.806,0.9,2.8,0.9,5.8,6.7,1.7,1.4,1.2,8.5
167,Svi Mykhailiuk,OKC,66,20.1,3.2,7.7,0.411,1.6,4.8,0.334,0.6,0.8,0.76,1.3,1,0.4,2.1,2.5,1.7,0.8,0.2,8.5
168,Cameron Payne,PHX,60,18,3.2,6.6,0.484,1.2,2.8,0.44,0.8,0.9,0.893,1,1.6,0.3,2.1,2.4,3.6,0.6,0.3,8.4
169,Luke Kennard,LAC,63,19.6,3.1,6.6,0.476,1.6,3.6,0.446,0.4,0.5,0.839,0.8,1.4,0.2,2.3,2.6,1.7,0.4,0.1,8.3
170,Cory Joseph,DET,63,23,3.2,6.8,0.469,0.7,2.1,0.341,1.1,1.4,0.818,1.3,2.2,0.6,2,2.5,3.4,1,0.3,8.2
171,Sterling Brown,HOU,51,24.1,2.9,6.6,0.448,1.8,4.2,0.423,0.5,0.6,0.806,0.8,1.9,0.7,3.6,4.4,1.4,0.7,0.2,8.2
172,JaMychal Green,DEN,58,19.3,3,6.4,0.463,1.4,3.4,0.399,0.8,1,0.807,0.9,2.5,1.5,3.3,4.8,0.9,0.4,0.4,8.1
173,Nicolas Batum,LAC,67,27.4,2.9,6.1,0.464,1.6,4.1,0.404,0.7,0.9,0.828,0.8,1.5,0.7,4,4.7,2.2,1,0.6,8.1
174,Robert Williams,BOS,52,18.9,3.6,5,0.721,0,0,0,0.9,1.4,0.616,1,2,2.6,4.3,6.9,1.8,0.8,1.8,8
175,Tyrese Maxey,PHI,61,15.3,3.2,7,0.462,0.5,1.7,0.301,1,1.1,0.871,0.7,1.3,0.2,1.5,1.7,2,0.4,0.2,8
176,Kenrich Williams,OKC,66,21.6,3.3,6.2,0.533,0.8,1.8,0.444,0.5,1,0.571,1.2,2.2,1.3,2.9,4.1,2.3,0.8,0.3,8
177,Isaiah Stewart II,DET,68,21.4,3.3,6,0.553,0.3,0.9,0.333,0.9,1.4,0.696,1,2.7,2.3,4.3,6.7,0.9,0.6,1.3,7.9
178,Anfernee Simons,POR,64,17.3,2.6,6.3,0.419,1.9,4.4,0.426,0.7,0.9,0.807,0.7,1.5,0.2,2,2.2,1.4,0.3,0.1,7.8
179,Payton Pritchard,BOS,66,19.2,2.8,6.3,0.44,1.5,3.8,0.411,0.6,0.7,0.889,0.8,1.6,0.5,1.9,2.4,1.8,0.6,0.1,7.7
180,Tomas Satoransky,CHI,58,22.5,2.9,5.7,0.514,0.7,2,0.356,1.2,1.4,0.848,1.7,1.5,0.5,1.9,2.4,4.7,0.7,0.2,7.7
181,D.J. Augustin,HOU,57,19.8,2.4,6,0.394,1.5,3.8,0.382,1.5,1.6,0.904,1.1,1,0.4,1.3,1.6,3.3,0.5,0,7.7
182,Ben McLemore,LAL,53,17.1,2.5,6.9,0.37,1.8,5.3,0.346,0.7,1,0.736,0.8,1.7,0.3,1.6,1.9,0.7,0.4,0.2,7.7
183,Tristan Thompson,BOS,54,23.8,3.1,6,0.518,0,0.1,0,1.3,2.2,0.592,1.1,2.2,3.1,5,8.1,1.2,0.4,0.6,7.6
184,Garrett Temple,CHI,56,27.3,2.8,6.8,0.415,1.2,3.6,0.335,0.7,0.9,0.8,1,2.2,0.5,2.3,2.9,2.2,0.8,0.5,7.6
185,Steven Adams,NOP,58,27.7,3.3,5.3,0.614,0,0.1,0,1,2.3,0.444,1.3,1.9,3.7,5.2,8.9,1.9,0.9,0.7,7.6
186,Edmond Sumner,IND,53,16.2,2.8,5.3,0.525,0.7,1.7,0.398,1.3,1.6,0.819,1,1.7,0.3,1.4,1.8,0.9,0.6,0.2,7.5
187,Patrick Beverley,LAC,37,22.5,2.5,5.9,0.423,1.5,3.8,0.397,1,1.2,0.8,0.9,2.9,0.8,2.4,3.2,2.1,0.8,0.8,7.5
188,Jaxson Hayes,NOP,60,16.1,2.9,4.7,0.625,0.1,0.2,0.429,1.6,2,0.775,0.7,1.7,1.5,2.8,4.3,0.6,0.4,0.6,7.5
189,DeAndre Jordan,BRK,57,21.9,3.3,4.4,0.763,0,0,0,0.8,1.6,0.5,1.5,2,2.1,5.4,7.5,1.6,0.3,1.1,7.5
